State,Percent Pop with At Least One Dose
United States,66.3
Alaska,58.9
Alabama,54
Arkansas,57.5
Arizona,60.8
California,73.9
Colorado,67.1
Connecticut,78.2
District of Columbia,73.4
Delaware,68.5
Florida,68.6
Georgia,56.4
Hawaii,78.3
Iowa,59.2
Idaho,48.6
Illinois,69.6
Indiana,53.4
Kansas,61.8
Kentucky,62.4
Louisiana,53.5
Massachusetts,79.4
Maryland,72.5
Maine,75.8
Michigan,57.7
Minnesota,64.7
Missouri,56.3
Mississippi,51.7
Montana,56.3
North Carolina,62.9
North Dakota,52.8
Nebraska,60.6
New Hampshire,73.9
New Jersey,74.3
New Mexico,75.5
Nevada,62.7
New York State,73.5
Ohio,55.5
Oklahoma,58.7
Oregon,68
Pennsylvania,76.3
Rhode Island,77.4
South Carolina,57
South Dakota,61.1
Tennessee,54.2
Texas,60.9
Utah,60.7
Virginia,70.4
Vermont,79.1
Washington,68.9
Wisconsin,62.3
West Virginia,48.8
Wyoming,50.3